Raagas,Swaras,,Index
Bhavapriya,"S,D1,G2,M2,N2,P,R1",,1
Chaarukeshi,"S,D1,G3,M1,N2,P,R2",,2
Chakravaaka,"S,D2,G3,M1,N2,P,R1",,3
Chalanaata,"S,D3,G3,M1,N3,P,R3",,4
Chithraambari,"S,D3,G3,M2,N3,P,R2",,5
Dhaathuvardhini,"S,D1,G3,M2,N3,P,R3",,6
Dharmavathi,"S,D2,G2,M2,N3,P,R2",,7
Dhavalaambari,"S,D1,G3,M2,N1,P,R1",,8
Dheerashankaraabharana,"S,D2,G3,M1,N3,P,R2",,9
Dhenuka,"S,D1,G2,M1,N3,P,R1",,10
Divyamani,"S,D3,G2,M2,N3,P,R1",,11
Gaanamoorthe,"S,D1,G1,M1,N3,P,R1",,12
Gaangeyabhooshini,"S,D1,G3,M1,N3,P,R3",,13
Gaayakapriya,"S,D1,G3,M1,N1,P,R1",,14
Gamanashrama,"S,D2,G3,M2,N3,P,R1",,15
Gavaambodhi,"S,D1,G2,M2,N1,P,R1",,16
Gowrimanohari,"S,D2,G2,M1,N3,P,R2",,17
Haatakaambari,"S,D3,G3,M1,N3,P,R1",,18
Hanumathodi,"S,D1,G2,M1,N2,P,R1",,19
Harikhambhoji,"S,D2,G3,M1,N2,P,R2",,20
Hemavathi,"S,D2,G2,M2,N2,P,R2",,21
Jalaarnava,"S,D1,G1,M2,N2,P,R1",,22
Jhoolavaraali,"S,D1,G1,M2,N3,P,R1",,23
Jhunkaaradhwani,"S,D1,G2,M1,N1,P,R2",,24
Jyothiswaroopini,"S,D1,G3,M2,N2,P,R3",,25
Kaamavardhini,"S,D1,G3,M2,N3,P,R1",,26
Kaanthaamani,"S,D1,G3,M2,N1,P,R2",,27
Kanakaangi,"D1,G1,M1,N1,P,R1",,28
Keeravaani,"D1,G2,M1,N3,P,R2",,29
Kharaharapriya,"D2,G2,M1,N2,P,R2",,30
Kokilapriya,"D2,G2,M1,N3,P,R1",,31
Kosala,"D2,G3,M2,N3,P,R3",,32
Lathaangi,"D1,G3,M2,N3,P,R2",,33
Maanavathi,"D2,G1,M1,N3,P,R1",,34
Maararanjani,"D1,G3,M1,N1,P,R2",,35
Maayamalavagowla,"S,D1,G3,M1,N3,P,R1",,36
Mechakalyaani,"D2,G3,M2,N3,P,R2",,37
Naagaanandhini,"D3,G3,M1,N3,P,R2",,38
Naamanaaraayani,"D1,G3,M2,N2,P,R1",,39
Naasikaabhooshini,"D2,G3,M2,N2,P,R3",,40
Naatakapriya,"D2,G2,M1,N2,P,R1",,41
Natabhairavi,"D1,G2,M1,N2,P,R2",,42
Navaneetha,"D2,G1,M2,N2,P,R1",,43
Neethimathi,"D3,G2,M2,N3,P,R2",,44
Paavani,"D2,G1,M2,N3,P,R1",,45
Raagavardhini,"D1,G3,M1,N2,P,R3",,46
Raamapriya,"D2,G3,M2,N2,P,R1",,47
Raghupriya,"D3,G1,M2,N3,P,R1",,48
Rasikapriya,"D3,G3,M2,N3,P,R3",,49
Rathnaangi,"S,D1,G1,M1,N2,P,R1",,50
Rishabhapriya,"S,D1,G3,M2,N2,P,R2",,51
Roopavathi,"S,D3,G2,M1,N3,P,R1",,52
Saalaga,"S,D1,G1,M2,N1,P,R1",,53
Sarasaangi,"S,D1,G3,M1,N3,P,R2",,54
Senaavathi,"S,D1,G2,M1,N1,P,R1",,55
Shadvidhamaargini,"S,D2,G2,M2,N2,P,R1",,56
Shanmukhapriya,"S,D1,G2,M2,N2,P,R2",,57
Shoolini,"S,D2,G3,M1,N3,P,R3",,58
Shubhapanthuvaraali,"S,D1,G2,M2,N3,P,R1",,59
Shyaamalaangi,"S,D1,G2,M2,N1,P,R2",,60
Simhendra madhyama,"S,D1,G2,M2,N3,P,R2",,61
Sooryakaantha,"S,D2,G3,M1,N3,P,R1",,62
Sucharithra,"S,D1,G3,M2,N1,P,R3",,63
Suvarnaangi,"S,D2,G2,M2,N3,P,R1",,64
Thaanaroopi,"S,D3,G1,M1,N3,P,R1",,65
Vaachaspathi,"S,D2,G3,M2,N2,P,R2",,66
Vaagadheeshwari,"S,D2,G3,M1,N2,P,R3",,67
Vakulaabharana,"S,D1,G3,M1,N2,P,R1",,68
Vanaspathi,"S,D2,G1,M1,N2,P,R1",,69
Varunapriya,"S,D3,G2,M1,N3,P,R2",,70
Vishwambhari,"S,D3,G3,M2,N3,P,R1",,71
Yaagapriya,"S,D1,G3,M1,N1,P,R3",,72
Hamsadhwani,"S,R2,G3,P,N3",,73
Kalyani,"S,R2, G3, M2, P, D2, N3",,74
Mohana,"S,R2,G3,P,D2",,75
